botname	edit_catgory	Fixer	Generator	Tagger	Clerk	Archiver	Advisor 	Connector	Protector	Notifier 
DodoBot	100K ~ 1M	0	0	1	0	0	0	0	0	0
TinucherianBot	100K ~ 1M	0	0	1	0	0	0	0	0	1
H3llBot	100K ~ 1M	1	0	0	0	1	0	0	0	0
Filedelinkerbot	100K ~ 1M	1	0	0	0	0	0	1	0	0
RedBot	100K ~ 1M	1	0	0	0	0	0	1	0	0
NoomBot	100K ~ 1M	1	0	0	1	0	0	0	0	1
Citation bot 1	100K ~ 1M	1	0	0	0	0	0	1	0	0
Tom.Bot	100K ~ 1M	0	0	1	0	0	0	0	0	0
ShepBot	100K ~ 1M	0	0	1	0	1	0	0	0	0
Reedy Bot	100K ~ 1M	1	0	1	0	0	0	0	0	0
GA bot	100K ~ 1M	1	0	1	1	0	0	0	0	1
Detroiterbot	100K ~ 1M	1	0	1	0	0	0	0	0	0
JarBot	100K ~ 1M	0	0	0	0	0	0	0	0	0
SkiersBot	100K ~ 1M	0	1	1	0	0	0	0	0	0
Chris G Bot 3	100K ~ 1M	0	0	0	1	0	0	0	0	0
LaraBot	100K ~ 1M	0	0	1	0	0	0	0	0	0
LaaknorBot	100K ~ 1M	1	0	0	0	0	0	1	0	0
SatyrBot	100K ~ 1M	0	0	0	1	0	0	0	0	0
Ganeshbot	100K ~ 1M	1	1	1	0	0	0	0	0	0
Hmainsbot1	100K ~ 1M	1	0	0	0	0	0	0	0	0
Invadibot	100K ~ 1M	1	0	0	0	0	0	0	0	0
Svenbot	100K ~ 1M	0	0	1	0	0	0	0	0	0
BryanBot	100K ~ 1M	0	0	0	1	0	0	0	0	0
MusikBot	100K ~ 1M	0	0	1	1	1	0	1	0	0
SQLBot	100K ~ 1M	0	0	0	1	0	0	0	0	0
ArmbrustBot	100K ~ 1M	1	0	1	0	0	0	0	0	0
PseudoBot	100K ~ 1M	1	0	1	0	0	0	0	0	0
Tawkerbot	100K ~ 1M	0	0	1	0	0	0	0	1	1
Pearle	100K ~ 1M	1	0	0	1	0	0	0	0	0
DarknessBot	100K ~ 1M	1	0	0	0	0	0	1	0	0
OKBot	100K ~ 1M	1	0	0	0	0	0	0	0	0
Makecat-bot	100K ~ 1M	1	0	0	0	0	0	1	0	0
LucienBOT	100K ~ 1M	1	0	0	0	0	0	0	0	0
DYKHousekeepingBot	100K ~ 1M	0	0	0	1	0	0	0	0	0
Alphachimpbot	100K ~ 1M	0	0	1	1	1	0	0	0	0
ChuispastonBot	100K ~ 1M	0	0	0	0	0	0	1	0	0
718 Bot	10K ~ 100K	1	0	0	1	0	0	0	0	0
Snotbot	10K ~ 100K	0	0	1	1	1	0	0	0	0
KLBot2	10K ~ 100K	1	0	1	1	1	0	1	0	0
HagermanBot	10K ~ 100K	0	0	1	0	0	0	0	1	0
Numbo3-bot	10K ~ 100K	1	0	1	0	0	0	1	0	0
AlleborgoBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Robbot	10K ~ 100K	1	0	0	1	0	0	0	0	0
28bot	10K ~ 100K	1	0	0	1	0	0	0	1	0
Rei-bot	10K ~ 100K	1	0	0	1	0	0	0	0	0
DFBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
Mr.Z-bot	10K ~ 100K	0	0	1	1	0	0	0	0	0
RM bot	10K ~ 100K	1	0	1	0	0	0	0	1	0
RobotG	10K ~ 100K	1	0	0	0	0	0	0	0	0
Wikinews Importer Bot	10K ~ 100K	1	0	0	0	0	0	1	0	0
BernsteinBot	10K ~ 100K	0	0	0	0	0	0	0	0	0
FastilyBot	10K ~ 100K	0	0	0	1	0	0	0	0	1
The wubbot	10K ~ 100K	1	0	1	1	0	0	0	0	0
BotMultichillT	10K ~ 100K	1	0	1	1	0	0	1	0	0
MiszaBot	10K ~ 100K	0	0	0	1	0	0	0	0	1
CactusBot	10K ~ 100K	0	0	0	0	0	0	1	0	1
DSisyphBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
AvocatoBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
BrownBot	10K ~ 100K	1	0	0	0	0	0	0	0	1
GimmeBot	10K ~ 100K	1	0	0	0	0	1	0	0	1
ArticlesForCreationBot	10K ~ 100K	0	0	1	1	0	1	0	0	0
CanisRufus	10K ~ 100K	0	0	0	1	0	0	0	0	0
PhotoCatBot	10K ~ 100K	0	0	1	0	0	0	0	0	0
RibotBOT	10K ~ 100K	1	0	0	0	0	0	1	0	0
AdminStatsBot	10K ~ 100K	0	0	0	1	0	0	1	0	0
Redirect fixer	10K ~ 100K	0	0	0	0	0	0	0	0	0
JCW-CleanerBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
MadmanBot	10K ~ 100K	0	0	0	1	0	0	0	0	1
STBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Ptbotgourou	10K ~ 100K	1	0	0	1	0	0	1	0	0
OgreBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
HBC AIV helperbot	10K ~ 100K	1	0	0	1	0	0	0	0	0
ArticleAlertbot	10K ~ 100K	0	0	0	0	0	0	0	0	1
Erwin85Bot	10K ~ 100K	1	0	1	1	0	0	1	1	1
MastiBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Werdnabot	10K ~ 100K	0	0	0	1	1	0	0	0	0
MoohanBOT	10K ~ 100K	1	0	1	0	0	0	0	0	0
LivingBot	10K ~ 100K	1	0	0	1	1	0	0	0	1
Ralbot	10K ~ 100K	0	0	0	0	0	0	0	0	0
SoxBot V	10K ~ 100K	1	0	1	0	1	0	0	1	0
CitationCleanerBot	10K ~ 100K	1	0	0	1	0	0	0	0	0
Josvebot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Thehelpfulbot	10K ~ 100K	1	0	1	0	0	0	1	0	1
Amirobot	10K ~ 100K	1	0	0	0	0	0	1	0	0
DragonBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
STTWbot	10K ~ 100K	0	0	1	0	0	0	0	0	0
MelonBot	10K ~ 100K	0	0	1	1	0	0	0	0	0
FoxBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
BAGBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
Sambot	10K ~ 100K	1	0	1	1	1	0	1	0	0
ClueBot II	10K ~ 100K	0	0	1	0	0	0	0	0	0
TuHan-Bot	10K ~ 100K	1	0	0	0	0	0	1	0	0
MalafayaBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Idioma-bot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Staeckerbot	10K ~ 100K	0	0	1	0	0	0	0	0	0
Bot1058	10K ~ 100K	1	0	1	0	0	0	1	0	0
CommonsNotificationBot	10K ~ 100K	0	0	0	0	0	0	1	0	1
EnterpriseyBot	10K ~ 100K	1	0	1	1	0	0	0	0	1
HRoestBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
BogBot	10K ~ 100K	0	1	0	0	0	0	1	0	0
JackieBot	10K ~ 100K	1	0	0	1	0	0	0	0	0
Maelgwnbot	10K ~ 100K	1	0	1	1	0	0	0	0	0
KamikazeBot	10K ~ 100K	1	0	0	1	0	0	1	0	0
VoxelBot	10K ~ 100K	1	0	0	1	1	0	0	0	1
Uncle G's major work 'bot	10K ~ 100K	1	0	0	1	0	0	0	0	0
Shadowbot3	10K ~ 100K	0	0	0	0	1	0	0	0	0
Drinibot	10K ~ 100K	0	0	0	1	0	0	1	0	0
PotatoBot	10K ~ 100K	1	1	0	0	0	0	1	0	0
MarshBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
DefaultsortBot	10K ~ 100K	0	0	1	0	0	0	0	0	0
Acebot	10K ~ 100K	0	0	0	1	1	0	0	0	0
TokenzeroBot	10K ~ 100K	1	1	0	0	0	0	0	0	0
Rezabot	10K ~ 100K	1	0	0	1	0	0	1	0	0
ReferenceBot	10K ~ 100K	0	0	0	0	0	1	0	0	1
HotArticlesBot	10K ~ 100K	0	0	0	1	0	0	0	0	0
SharedIPArchiveBot	10K ~ 100K	0	0	0	0	1	0	0	0	0
Ahechtbot	10K ~ 100K	1	0	0	0	0	0	0	0	0
Tangobot	10K ~ 100K	1	0	0	1	1	0	1	0	0
Thadius856AWB	10K ~ 100K	1	0	1	0	0	0	0	0	0
PixelBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
DyceBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
WatchlistBot	10K ~ 100K	0	1	1	1	0	0	0	0	0
Gdrbot	10K ~ 100K	1	0	0	1	0	0	1	0	0
TheSandBot	10K ~ 100K	0	0	0	0	0	0	0	0	0
DOI bot	10K ~ 100K	1	0	0	0	0	0	0	0	0
SashatoBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
TobeBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
HBC AIV helperbot11	10K ~ 100K	0	0	0	0	0	0	0	0	0
AntiSpamBot	10K ~ 100K	1	0	0	0	0	0	0	1	0
SDPatrolBot	10K ~ 100K	0	0	1	0	0	0	0	0	0
SassoBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
MifterBot	10K ~ 100K	0	0	1	0	0	0	0	0	1
Rubinbot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Stefan2bot	10K ~ 100K	0	0	0	0	0	0	0	0	0
TPBot	10K ~ 100K	1	0	0	1	0	0	0	0	0
JYBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Bibcode Bot	10K ~ 100K	1	0	1	0	0	0	0	0	0
People-photo-bot	10K ~ 100K	1	1	1	0	1	0	0	0	0
SilvonenBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Sandbot	10K ~ 100K	1	0	0	1	0	0	0	0	0
MenasimBot	10K ~ 100K	0	0	1	0	0	0	0	0	0
Qbugbot	10K ~ 100K	1	1	0	0	0	0	0	0	0
Muro Bot	10K ~ 100K	1	0	0	0	0	0	0	0	0
DinoBot2	10K ~ 100K	1	0	0	1	0	0	0	0	0
AP.BOT	10K ~ 100K	1	0	0	1	0	0	0	0	0
BotanyBot	10K ~ 100K	1	0	1	1	1	0	0	0	0
Sethbot	10K ~ 100K	1	0	0	1	0	0	1	0	0
Jogersbot	10K ~ 100K	1	0	1	0	0	0	0	0	0
Petan-Bot	10K ~ 100K	0	0	0	1	0	0	0	0	0
Obersachsebot	10K ~ 100K	1	0	0	0	0	0	1	0	0
WinBot	10K ~ 100K	0	0	0	1	0	0	0	0	0
STBotD	10K ~ 100K	1	0	0	0	0	0	1	0	0
ContinuityBot	10K ~ 100K	1	0	1	0	0	0	0	0	0
WOSlinkerBot	10K ~ 100K	0	0	0	1	0	0	0	0	0
SteveBot	10K ~ 100K	1	0	1	0	0	0	0	0	1
HBC AIV helperbot2	10K ~ 100K	1	0	0	0	0	0	0	1	0
Eskimbot	10K ~ 100K	1	0	0	0	0	0	0	1	0
Ohms Law Bot	10K ~ 100K	0	0	0	0	0	0	0	0	0
D'ohBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
DHN-bot~enwiki	10K ~ 100K	1	0	0	1	0	0	1	0	0
J Milburn Bot	10K ~ 100K	1	0	1	0	0	0	0	0	0
Lowercase sigmabot II	10K ~ 100K	0	0	0	0	1	0	0	0	0
Ripchip Bot	10K ~ 100K	1	0	0	0	0	0	0	0	0
FeedBot	10K ~ 100K	1	0	0	1	0	0	0	0	0
PipepBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
KingpinBot	10K ~ 100K	0	0	1	1	1	0	0	0	1
Scepbot	10K ~ 100K	1	0	0	0	0	0	1	0	0
MifterBot I	10K ~ 100K	0	0	1	0	0	0	0	0	0
BOTarate	10K ~ 100K	1	0	0	0	0	0	1	0	0
One bot	10K ~ 100K	0	0	0	1	0	0	1	0	0
Rick Bot	10K ~ 100K	1	0	0	1	0	0	0	0	0
Guanabot	10K ~ 100K	1	0	0	0	0	0	0	0	0
CapitalBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
KevinBot	10K ~ 100K	1	1	0	1	0	0	0	0	0
YiFeiBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
SPCUClerkbot	10K ~ 100K	0	0	1	1	0	0	0	0	0
HBC NameWatcherBot	10K ~ 100K	0	0	1	0	0	0	0	0	1
CSDWarnBot	10K ~ 100K	0	0	0	0	0	0	0	0	1
AMbot	10K ~ 100K	0	0	1	1	0	0	0	0	0
SoxBot III	10K ~ 100K	0	0	0	1	0	0	0	0	0
VoABot	10K ~ 100K	1	0	0	1	0	0	0	0	0
Curpsbot-unicodify	10K ~ 100K	0	0	0	0	0	0	0	0	0
JeffGBot	10K ~ 100K	0	0	1	0	0	0	0	0	1
TjBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Commander Keane bot	10K ~ 100K	0	0	0	0	0	0	1	0	0
TaBOT-zerem	10K ~ 100K	1	0	0	0	0	0	1	0	0
ZackBot	10K ~ 100K	0	0	1	0	0	0	0	0	0
Fluxbot	10K ~ 100K	1	0	1	1	0	0	0	0	1
MerlIwBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Android Mouse Bot 2	10K ~ 100K	0	0	0	0	0	0	0	0	1
LyricsBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Mjbmrbot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Whobot	10K ~ 100K	1	0	0	1	0	0	0	0	0
PbBot	10K ~ 100K	1	0	1	0	0	0	0	0	0
Gnome (Bot)	10K ~ 100K	1	0	1	1	0	0	0	0	1
BoxCrawler	10K ~ 100K	1	0	0	1	0	0	0	0	0
KarlsenBot	10K ~ 100K	1	0	1	0	0	0	0	0	0
JBradley Bot	10K ~ 100K	1	1	0	0	0	0	1	0	0
COBot	10K ~ 100K	1	1	1	1	0	0	1	0	0
Chartbot	10K ~ 100K	1	0	0	0	0	0	0	0	0
Broadbot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Lowercase sigmabot	10K ~ 100K	1	0	0	1	0	0	0	0	0
Phe-bot	10K ~ 100K	1	0	0	1	0	0	1	0	0
A4bot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Comics-awb	10K ~ 100K	0	0	1	0	0	0	0	0	0
DYKadminBot	10K ~ 100K	0	0	0	1	1	0	0	0	1
JoeBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
Dinamik-bot	10K ~ 100K	1	0	0	0	0	0	1	0	0
JhsBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
DASHBotAV	10K ~ 100K	1	0	0	0	0	0	0	1	0
Snowbot	10K ~ 100K	1	0	1	0	0	0	0	0	1
RonaldBot	10K ~ 100K	0	0	0	1	0	0	0	0	0
AfDBot	10K ~ 100K	0	0	0	1	0	0	0	0	0
RBot~enwiki	10K ~ 100K	1	0	1	0	0	0	0	0	0
William Avery Bot	10K ~ 100K	0	0	0	0	0	0	0	0	0
MPUploadBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
^demonBot2	10K ~ 100K	1	0	1	0	0	0	0	0	0
ChzzBot II	10K ~ 100K	0	0	0	0	0	0	0	0	0
AWeenieBot	10K ~ 100K	0	0	0	1	1	0	0	0	0
HBC AIV helperbot4	10K ~ 100K	1	0	1	0	1	0	0	1	0
Pegasusbot	10K ~ 100K	1	0	0	0	0	0	0	0	0
Synthebot	10K ~ 100K	1	0	0	0	0	0	1	0	0
OverlordQBot	10K ~ 100K	1	0	1	0	0	0	0	0	0
AndersBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
NekoDaemon	10K ~ 100K	1	0	1	1	0	0	0	0	0
WikiStatsBOT	10K ~ 100K	0	0	0	1	0	0	0	0	0
BOT-Superzerocool	10K ~ 100K	1	0	0	0	0	0	1	0	0
Harej bot	10K ~ 100K	0	0	1	0	0	0	0	0	0
CarsracBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Tom's Tagging Bot	10K ~ 100K	0	0	0	0	0	0	0	0	0
Merge bot	10K ~ 100K	0	0	0	1	1	0	0	0	0
EmxBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
NationalRegisterBot	10K ~ 100K	0	0	1	0	0	0	0	0	0
PeerReviewBot	10K ~ 100K	0	0	0	0	1	0	0	0	0
RileyBot	10K ~ 100K	1	0	1	0	0	0	0	0	0
RscprinterBot	10K ~ 100K	0	0	1	1	1	0	0	0	0
AlnoktaBOT	10K ~ 100K	1	0	0	0	0	0	1	0	0
Vagobot	10K ~ 100K	1	0	0	0	0	0	1	0	0
EranBot	10K ~ 100K	1	1	0	1	0	1	1	0	0
IznoBot	10K ~ 100K	1	0	0	1	0	0	0	0	0
WelcomerBot	10K ~ 100K	0	0	0	0	0	0	0	0	1
Legobot II	10K ~ 100K	0	0	1	0	0	0	0	0	1
BenzolBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
SoxBot II	10K ~ 100K	1	0	0	0	0	0	0	0	1
BorgardeBot	10K ~ 100K	0	0	1	0	0	0	0	0	0
SoxBot IV	10K ~ 100K	1	0	0	0	0	0	0	0	0
Vina-iwbot~enwiki	10K ~ 100K	1	0	0	0	0	0	1	0	0
Seedbot	10K ~ 100K	1	0	0	0	0	0	1	0	1
RoboMaxCyberSem	10K ~ 100K	1	0	0	0	0	0	1	0	0
Zwobot	10K ~ 100K	1	0	0	0	0	0	1	0	0
JaGaBot	10K ~ 100K	1	0	0	1	0	0	0	0	0
Arbitrarily0Bot	10K ~ 100K	0	0	1	0	0	0	0	0	0
Rschen7754bot	10K ~ 100K	1	0	1	1	0	0	0	0	1
Grafikbot	10K ~ 100K	1	0	0	1	0	0	0	0	0
Taxobot 1	10K ~ 100K	0	0	0	0	0	0	0	0	0
AnkitAWB	10K ~ 100K	1	0	1	1	0	0	0	0	0
Bot0612	10K ~ 100K	1	0	0	1	0	0	0	0	0
MerlLinkBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
VWBot	10K ~ 100K	0	0	1	1	0	0	0	0	1
SQLBot-Hello	10K ~ 100K	0	0	0	1	0	0	0	0	1
CobraBot	10K ~ 100K	1	0	1	1	0	0	0	0	0
Locobot	10K ~ 100K	1	0	0	0	0	0	1	0	0
LordAnubisBOT	10K ~ 100K	1	0	0	0	0	0	1	0	0
MBisanzBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
Kyle the bot	10K ~ 100K	1	0	0	0	0	0	1	0	0
